,hotel_name,hotel_locality,hotel_rating,review_date,review_rating,user_location
125,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Israel
126,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Turkey
127,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Romania
128,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Poland
129,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, France
130,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, RJ
131,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0,Rio
132,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Turkey
133,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Israel
134,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Jordan
135,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0,Jordan
136,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0,Beit Sahour
137,Shepherd Plaza Hotel,Bethlehem,5.0,2015,5.0, India
138,Shepherd Plaza Hotel,Bethlehem,5.0,2015,4.0, Texas
139,Shepherd Plaza Hotel,Bethlehem,5.0,2014,5.0, Florida
140,Shepherd Plaza Hotel,Bethlehem,5.0,2014,5.0, Spain
141,Shepherd Plaza Hotel,Bethlehem,5.0,2014,5.0, United Arab Emirates
142,Shepherd Plaza Hotel,Bethlehem,5.0,2014,5.0, Palestinian Territories
143,Shepherd Plaza Hotel,Bethlehem,5.0,2013,5.0, Austria
144,Shepherd Plaza Hotel,Bethlehem,5.0,2013,4.0, UK
145,Shepherd Plaza Hotel,Bethlehem,5.0,2013,3.0, Denmark
146,Shepherd Plaza Hotel,Bethlehem,5.0,2012,4.0,Angus
147,Shepherd Plaza Hotel,Bethlehem,5.0,2012,5.0,Rio
148,Shepherd Plaza Hotel,Bethlehem,5.0,2012,3.0, Austria
149,Shepherd Plaza Hotel,Bethlehem,5.0,2011,3.0, India
150,Angel Hotel,Beit Jala,4.0,2017,3.0, Oregon
151,Angel Hotel,Beit Jala,4.0,2017,4.0, Germany
152,Angel Hotel,Beit Jala,4.0,2017,3.0, South Dakota
153,Angel Hotel,Beit Jala,4.0,2017,5.0, Tanzania
154,Angel Hotel,Beit Jala,4.0,2017,4.0, Iowa
155,Angel Hotel,Beit Jala,4.0,2017,5.0, Florida
156,Angel Hotel,Beit Jala,4.0,2017,4.0, Indiana
157,Angel Hotel,Beit Jala,4.0,2017,4.0,Texas
158,Angel Hotel,Beit Jala,4.0,2016,3.0, FL
159,Angel Hotel,Beit Jala,4.0,2016,5.0, Malaysia
160,Angel Hotel,Beit Jala,4.0,2016,5.0, Ohio
161,Angel Hotel,Beit Jala,4.0,2016,4.0, New York
162,Angel Hotel,Beit Jala,4.0,2016,4.0, Israel
163,Angel Hotel,Beit Jala,4.0,2015,4.0, India
164,Angel Hotel,Beit Jala,4.0,2015,5.0, United Arab Emirates
165,Angel Hotel,Beit Jala,4.0,2015,4.0, United Kingdom
166,Angel Hotel,Beit Jala,4.0,2015,4.0, NC
167,Angel Hotel,Beit Jala,4.0,2015,5.0, GA
168,Angel Hotel,Beit Jala,4.0,2015,4.0, CT
169,Angel Hotel,Beit Jala,4.0,2015,3.0, Pennsylvania
170,Angel Hotel,Beit Jala,4.0,2015,3.0,Nairobi
171,Angel Hotel,Beit Jala,4.0,2015,2.0, North Carolina
172,Angel Hotel,Beit Jala,4.0,2014,5.0, Texas
173,Angel Hotel,Beit Jala,4.0,2014,4.0, Israel
174,Angel Hotel,Beit Jala,4.0,2014,4.0, United Kingdom
