,Form,Topic Category,Rank,Type,Polarity
2704,room,concept,11,Top>Location>Facility,P
2722,beverage,concept,15,Top>Product>Food>Beverage,P
2723,meal,concept,16,Top>Product>Food,P
2724,wine,concept,17,Top>Product>Food>Beverage,P
2732,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2733,salad,concept,2,Top>Product>Food>CookedPlate,P
2734,food,concept,3,Top>Product>Food,P
2735,staff,concept,4,Top>Organization,P
2736,friendly,concept,5,Top,P
2737,room,concept,6,Top>Location>Facility,P
2738,adaptor,concept,7,Top>Product>Machine>Instrument,P
2739,room,concept,8,Top>Location>Facility,P
2744,Silverhearts Travel,entity,5,Top,P
2745,AC,entity,6,Top,P
2749,God,concept,3,Top>OtherEntity>God,P
2750,kindly,concept,4,Top>Person,P
2756,group,concept,10,Top>Organization,P
2757,gentleman,concept,11,Top>Person,P
2762,compass,concept,16,Top>Product,P
2765,apple,concept,19,Top>Product>Food>FruitOrVegetable,P
2768,curtain,concept,22,Top>Product>Textile>Fabric,P
2774,food,concept,28,Top>Product>Food,P
2775,chef,concept,29,Top>OtherEntity>Title,P
2780,left,concept,34,Top>Location>Address,P
2781,staff,concept,35,Top>Organization,P
2782,friendly,concept,36,Top,P
2784,dinner,concept,38,Top>Product>Food,P
2785,window,concept,39,Top>Product,P
2788,meal,concept,42,Top>Product>Food,P
2790,room,concept,44,Top>Location>Facility,P
2798,dinner,concept,52,Top>Event,P
2799,tavern,concept,53,Top>Location>Facility,P
2800,room,concept,54,Top>Location>Facility,P
2815,selection,concept,1,Top>Organization,P
2817,hotel,concept,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2818,advertisement,concept,4,Top>Product>CulturalProduct>Broadcast,P
2821,spot,concept,7,Top>Product>CulturalProduct>Broadcast,P
2823,staff,concept,9,Top>Organization,P
2825,T-shirt,concept,11,Top>Product>Textile>Clothes,P
2833,Bethlehem,entity,2,Top>Location>GeoPoliticalEntity,P
2834,guest,concept,1,Top>Person,P
2835,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2841,balcony,concept,8,Top>Location,P
2842,guest,concept,9,Top>Person,P
2847,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2848,taxi,concept,2,Top,P
2854,room,concept,8,Top>Location>Facility,P
2855,Wednesday,concept,9,Top>Unit>TimeUnit>Day,P
2857,attraction,concept,11,Top>Product>CulturalProduct>Show,P
2859,room,concept,13,Top>Location>Facility,P
